popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
85,0.31,0.7,9,-5.678,1,0.011000000000000001,0.00965,0.047,0.0828,0.763,188.386,255493,4,rock
83,0.9329999999999999,0.528,5,-6.472,0,0.11199999999999999,0.312,0.161,0.163,0.754,109.96700000000001,214653,4,rock
68,0.37,0.919,4,-5.721,1,0.000376,0.419,0.102,0.49,0.47100000000000003,134.02100000000002,344240,4,rock
66,0.447,0.9540000000000001,8,-8.068999999999999,1,0.0235,0.40299999999999997,0.0751,0.298,0.331,123.45299999999999,272027,4,rock
39,0.598,0.737,1,-13.463,1,0.0227,0.0,0.1,0.135,0.8059999999999999,144.79,176973,4,rock
75,0.599,0.9309999999999999,7,-4.6530000000000005,1,0.0302,6.69e-05,0.0735,0.392,0.536,140.123,270427,4,rock
78,0.41200000000000003,0.902,9,-11.6,1,0.0484,0.131,0.405,0.405,0.42200000000000004,89.74,333893,4,rock
79,0.8170000000000001,0.599,0,-9.249,0,0.132,0.00031099999999999997,0.0328,0.0873,0.5479999999999999,108.87299999999999,245640,4,rock
81,0.377,0.6809999999999999,7,-8.039,1,0.00088,0.0023,0.0298,0.0504,0.285,108.789,285133,4,rock
71,0.45399999999999996,0.946,1,-5.978,0,0.0223,0.0,0.13,0.17300000000000001,0.647,138.18,156147,4,rock
84,0.502,0.912,1,-4.556,1,2.55e-05,0.000173,0.0564,0.106,0.72,116.76100000000001,301920,4,rock
0,0.608,0.688,5,-7.655,0,0.134,0.20600000000000002,0.0296,0.0951,0.7490000000000001,114.414,334240,4,rock
84,0.508,0.8340000000000001,2,-6.205,1,0.0183,0.0,0.0386,0.0732,0.774,139.131,216053,4,rock
72,0.642,0.7659999999999999,2,-6.82,0,0.0407,0.000103,0.0401,0.0593,0.593,134.185,504333,4,rock
69,0.45399999999999996,0.91,6,-7.766,1,0.0866,0.0996,0.0448,0.11599999999999999,0.629,125.116,354520,4,rock
35,0.505,0.479,10,-10.27,1,0.326,0.007529999999999999,0.026000000000000002,0.0936,0.327,147.037,253878,4,rock
83,0.768,0.852,4,-6.215,1,0.214,7.36e-05,0.038,0.0723,0.867,128.373,271240,4,rock
59,0.5770000000000001,0.6759999999999999,8,-7.575,1,0.0144,1.36e-05,0.0331,0.424,0.374,139.418,219373,4,rock
34,0.192,0.612,8,-9.1,1,2.18e-06,0.69,0.0436,0.10800000000000001,0.47700000000000004,140.35,150730,4,rock
86,0.828,0.49200000000000005,0,-9.744,1,0.0644,0.00428,0.0276,0.128,0.789,120.15100000000001,257800,4,rock
64,0.273,0.9520000000000001,11,-8.762,1,0.0169,0.0111,0.0843,0.142,0.47200000000000003,100.271,405640,4,rock
30,0.484,0.8809999999999999,11,-5.712999999999999,0,0.0008300000000000001,0.254,0.0372,0.0647,0.42200000000000004,117.524,262293,4,rock
86,0.574,0.9129999999999999,6,-4.793,0,0.061,0.00158,0.133,0.156,0.423,115.728,208400,4,rock
86,0.532,0.887,0,-3.7569999999999997,1,0.0778,0.00021400000000000002,0.0335,0.294,0.795,122.51100000000001,249293,4,rock
32,0.675,0.836,2,-3.29,0,0.0373,0.0,0.028999999999999998,0.29100000000000004,0.48200000000000004,124.06299999999999,175920,4,rock
80,0.249,0.8340000000000001,0,-8.21,1,0.0738,9.48e-05,0.0577,0.0924,0.33799999999999997,118.223,547107,4,rock
80,0.754,0.759,9,-5.218,1,0.153,0.00010800000000000001,0.302,0.10099999999999999,0.435,126.366,214667,4,rock
14,0.655,0.831,9,-5.935,1,0.00011899999999999999,0.792,0.0291,0.0848,0.45,116.0,324889,4,rock
84,0.545,0.67,9,-8.81,1,0.009000000000000001,0.000822,0.0496,0.0451,0.48100000000000004,151.553,270213,4,rock
76,0.342,0.91,4,-7.747999999999999,1,4.02e-05,0.000121,0.0758,0.0823,0.547,140.452,166360,4,rock
16,0.49700000000000005,0.85,4,-6.354,1,0.000103,6.38e-06,0.0377,0.292,0.524,118.07600000000001,231928,4,rock
84,0.532,0.767,7,-5.5089999999999995,1,0.0028699999999999997,0.000513,0.0574,0.39,0.755,127.361,210173,4,rock
79,0.535,0.716,4,-5.025,1,0.326,0.0,0.0431,0.659,0.9009999999999999,94.37899999999999,175173,4,rock
46,0.631,0.556,9,-8.862,1,0.00905,0.0,0.0321,0.139,0.642,81.99799999999999,266582,4,rock
80,0.631,0.932,5,-4.1419999999999995,1,0.0436,0.13699999999999998,0.0354,0.0918,0.971,122.429,213067,4,rock
52,0.6779999999999999,0.643,2,-9.316,1,0.24,0.0,0.0444,0.0708,0.534,113.46,237520,4,rock
10,0.43,0.6759999999999999,5,-8.238,1,0.20800000000000002,0.311,0.0296,0.0813,0.5660000000000001,147.655,212011,4,rock
85,0.579,0.508,2,-9.484,1,0.0057399999999999994,0.0004940000000000001,0.027000000000000003,0.0575,0.609,147.125,391376,4,rock
80,0.564,0.932,11,-10.068,1,0.013000000000000001,0.16899999999999998,0.0554,0.349,0.619,112.93700000000001,146250,4,rock
48,0.5329999999999999,0.802,5,-6.837000000000001,0,0.0005690000000000001,0.465,0.0295,0.331,0.601,103.081,249453,4,rock
80,0.496,0.7390000000000001,6,-7.193,1,0.0211,0.0044399999999999995,0.0415,0.106,0.37799999999999995,132.41,336000,4,rock
74,0.693,0.353,0,-17.852,1,0.0704,0.0011300000000000001,0.0414,0.503,0.75,104.14299999999999,228587,4,rock
8,0.415,0.6409999999999999,4,-10.776,1,0.0188,0.15,0.0351,0.46799999999999997,0.168,95.03,229895,4,rock
86,0.413,0.8809999999999999,11,-5.541,0,5.99e-05,0.000308,0.0367,0.0805,0.364,158.066,250547,4,rock
83,0.733,0.794,5,-10.023,1,0.0614,0.0367,0.0307,0.33,0.9309999999999999,148.174,348624,4,rock
33,0.47,0.494,0,-9.962,1,0.35,0.00125,0.043,0.1,0.201,89.693,325036,4,rock
73,0.715,0.6890000000000001,2,-8.065,0,0.0143,0.000192,0.028999999999999998,0.111,0.852,111.50399999999999,331333,4,rock
86,0.6709999999999999,0.373,9,-18.064,1,0.257,8.01e-05,0.0323,0.0481,0.732,92.71799999999999,295893,4,rock
31,0.654,0.7959999999999999,1,-5.171,0,0.138,0.0,0.0263,0.0834,0.59,86.022,196744,4,rock
80,0.33799999999999997,0.34,9,-12.049000000000001,0,0.58,0.0032,0.0339,0.11599999999999999,0.19699999999999998,82.43299999999999,482830,4,rock
83,0.596,0.605,7,-12.145,1,0.18100000000000002,0.000331,0.0255,0.0863,0.8859999999999999,97.79799999999999,283800,4,rock
14,0.44,0.84,8,-5.787999999999999,1,0.000678,0.0613,0.0995,0.594,0.597,91.90899999999999,256611,4,rock
89,0.645,0.795,7,-12.095,1,0.34700000000000003,0.00389,0.0527,0.10400000000000001,0.535,112.06700000000001,251489,4,rock
81,0.452,0.524,0,-10.107999999999999,1,0.315,0.0,0.0351,0.10300000000000001,0.24600000000000002,151.505,312360,4,rock
43,0.5529999999999999,0.675,10,-4.623,1,0.20199999999999999,0.0,0.153,0.12,0.355,159.57,154492,4,rock
85,0.64,0.6629999999999999,0,-7.516,1,0.201,0.00806,0.0374,0.152,0.6629999999999999,132.77,140773,4,rock
79,0.564,0.774,1,-9.424,1,0.0135,0.0019100000000000002,0.0368,0.0861,0.657,100.89399999999999,277477,4,rock
33,0.691,0.622,2,-6.432,1,0.138,0.0,0.0628,0.0843,0.501,119.90899999999999,249287,4,rock
79,0.623,0.449,5,-13.333,1,0.212,0.0,0.0253,0.0613,0.5720000000000001,84.383,256000,4,rock
85,0.557,0.54,9,-10.484000000000002,1,0.0339,0.00248,0.0347,0.179,0.39399999999999996,129.171,185733,4,rock
32,0.631,0.47,2,-7.056,1,0.39899999999999997,3.12e-06,0.0247,0.162,0.425,74.015,250722,4,rock
84,0.46399999999999997,0.795,1,-9.267000000000001,1,0.0493,0.00244,0.0926,0.39899999999999997,0.612,158.691,202267,4,rock
86,0.502,0.89,4,-5.175,1,0.000147,0.0117,0.0364,0.217,0.259,133.52,292880,4,rock
14,0.485,0.327,9,-15.780999999999999,1,0.0693,0.00644,0.0289,0.376,0.41,74.473,278955,4,rock
79,0.375,0.893,2,-4.0969999999999995,1,0.000509,0.0,0.0406,0.187,0.434,174.32299999999998,258773,4,rock
86,0.741,0.6970000000000001,0,-7.028,1,0.0664,2.2800000000000002e-05,0.0277,0.133,0.774,116.109,160133,4,rock
9,0.669,0.498,1,-7.71,1,0.21100000000000002,0.0,0.0262,0.201,0.872,107.98700000000001,242383,4,rock
80,0.5720000000000001,0.835,0,-6.218999999999999,1,0.171,0.000377,0.0317,0.0702,0.795,129.981,241600,4,rock
64,0.505,0.836,5,-7.3839999999999995,0,0.0103,0.0771,0.10099999999999999,0.295,0.764,159.66899999999998,204480,4,rock
25,0.5489999999999999,0.7979999999999999,0,-5.861000000000001,1,0.0934,0.0,0.0299,0.106,0.728,87.962,226982,4,rock
72,0.413,0.725,3,-5.787000000000001,0,0.369,2.1600000000000003e-05,0.0324,0.0905,0.44,124.618,429760,4,rock
57,0.5770000000000001,0.677,3,-10.327,1,0.36700000000000005,0.0,0.0245,0.493,0.6829999999999999,92.007,319427,4,rock
42,0.62,0.6940000000000001,9,-6.5920000000000005,1,0.0541,2.65e-06,0.0778,0.368,0.597,138.079,154783,4,rock
84,0.6920000000000001,0.711,0,-7.497999999999999,0,0.225,0.0,0.0317,0.12,0.875,125.135,216933,4,rock
60,0.315,0.534,9,-7.5520000000000005,0,0.000825,0.10800000000000001,0.031,0.10099999999999999,0.28300000000000003,116.891,269720,3,rock
24,0.493,0.894,2,-6.17,1,9.740000000000001e-05,0.0384,0.0379,0.29,0.54,110.00299999999999,273834,4,rock
71,0.48200000000000004,0.721,0,-6.8389999999999995,1,0.731,0.0,0.0321,0.18899999999999997,0.557,95.26299999999999,369600,4,rock
72,0.6829999999999999,0.594,2,-8.289,1,0.385,8.609999999999999e-05,0.0347,0.121,0.7340000000000001,115.09899999999999,250400,4,rock
33,0.473,0.7959999999999999,2,-9.685,1,0.00665,0.0458,0.0373,0.133,0.6559999999999999,152.16299999999998,271387,4,rock
72,0.43,0.46299999999999997,2,-10.96,1,0.303,5.8399999999999997e-05,0.0442,0.152,0.66,93.405,271333,4,rock
81,0.743,0.836,2,-6.465,1,0.0804,0.0,0.11599999999999999,0.384,0.82,113.375,188987,4,rock
24,0.599,0.5479999999999999,4,-8.418,0,0.0728,0.7509999999999999,0.0296,0.128,0.223,127.693,319687,4,rock
75,0.9329999999999999,0.528,5,-6.472,0,0.11199999999999999,0.32899999999999996,0.162,0.163,0.7559999999999999,109.975,214653,4,rock
84,0.5,0.748,4,-9.072000000000001,1,0.127,0.0,0.0363,0.447,0.514,118.852,250987,4,rock
10,0.49200000000000005,0.9059999999999999,11,-3.656,0,0.00387,0.633,0.0489,0.0797,0.47100000000000003,95.961,176013,4,rock
72,0.326,0.872,2,-7.602,1,0.214,0.0,0.122,0.461,0.49200000000000005,173.38099999999997,508333,4,rock
79,0.654,0.506,11,-17.18,0,0.6859999999999999,0.0155,0.0535,0.155,0.831,123.179,252240,4,rock
44,0.498,0.777,7,-5.511,1,0.009859999999999999,0.46799999999999997,0.0415,0.122,0.44299999999999995,94.03200000000001,170214,4,rock
75,0.39799999999999996,0.9520000000000001,4,-6.042000000000001,1,0.000373,7.75e-05,0.061,0.1,0.584,122.09299999999999,278680,4,rock
